title,price,area_sqft,price_per_sqft,location,bedrooms,bathrooms,property_type,undervalued,avg_price_per_sqft_location,url
"Drama! Space! Duplex PH plus outdoors in Classic BROWNSTONE$12,750Upper West Side",12750,,,Upper West Side,,,Multi-Family,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-drama-space-duplex-ph-plus/7907529863.html
"LOFT STUDIO for Sale! Best of Bleecker for Way Less$850,000Greenwich Village",850000,,,Greenwich Village,,,Other,False,797.72,https://newyork.craigslist.org/mnh/reb/d/new-york-loft-studio-for-sale-best-of/7909870443.html
"Southwest CORNER Prewar LOFT!  Convertible to a 3BR if you need$2,850,000Nolita / Bowery",2850000,,,Nolita / Bowery,3.0,,Other,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-southwest-corner-prewar-loft/7909871936.html
"Come to KIPS BAY for unlimited potential in a 2 Family TH$3,750,000Gramercy",3750000,,,Gramercy,,,Multi-Family,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-come-to-kips-bay-for-unlimited/7909872028.html
"TOWNHOUSE TIME- Turnkey and Special$2,600,000Park Slope",2600000,,,Park Slope,,,Single Family,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-townhouse-time-turnkey-and/7909876091.html
"WOW! TH living off Park Ave- 3BR DUPLEX - Dare to Compare!$12,000Upper East Side",12000,,,Upper East Side,3.0,,Multi-Family,False,775.0,https://newyork.craigslist.org/mnh/reb/d/new-york-wow-th-living-off-park-ave-3br/7909871839.html
"Historic, Loft you can OWN! And it's a CONDO too$1,100,000Bed Stuy",1100000,,,Bed Stuy,0.0,,Condo/Co-op,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-historic-loft-you-can-own-and/7906262929.html
"3 FAMILY BROWNSTONE with Development Potential too! UNUSED FAR.$6,495,000Upper West Side",6495000,,,Upper West Side,,,Multi-Family,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-family-brownstone-with/7907120381.html
"Medical or Professional Office for Sale$1,295,000Bronxville, NY",1295000,,,"Bronxville, Ny",,,Commercial,False,,https://newyork.craigslist.org/wch/reb/d/bronxville-medical-or-professional/7906554321.html
"Building Sale-Or Lease*Vacant*3 Floors+Lower Level*W181$9,500,000Inwood / Wash Hts",9500000,,,Inwood / Wash Hts,,,Other,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-building-sale-or-leasevacant3/7909548593.html
"Warehouse*Developement*Investment Property*Parking*Can Deliver Vacant$10,900,000Scholes St, Williamsburg, Brooklyn",10900000,,,"Scholes St, Williamsburg, Brooklyn",,,Single Family,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn/7909548387.html
"Oasis In Chelsea: Mix-Use duplex with Private Roof Deck Plus Air Right$3,200,000Chelsea",3200000,,,Chelsea,,,Multi-Family,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-oasis-in-chelsea-mix-use/7911162827.html
"Water front property with two homes$1,200,000manhattan",1200000,,,Manhattan,,,Single Family,False,,https://newyork.craigslist.org/mnh/reo/d/jacksonville-water-front-property-with/7909705203.html
"BRING THE CONTRACTOR! Already Gutted and ready to REDO$3,500,000Park Slope",3500000,,,Park Slope,,,Other,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-bring-the-contractor-already/7911157720.html
"Historic LOFT w/Modern Comfort! And it's a 3BR And it's a CONDO$15,999TriBeCa",15999,,,Tribeca,3.0,,Condo/Co-op,False,1054.62,https://newyork.craigslist.org/mnh/reb/d/new-york-historic-loft-modern-comfort/7911157484.html
"Motivated Owner lowers ASK! Prewar CHARM but Modernized$1,699,000Cobble Hill",1699000,,,Cobble Hill,,,Other,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-motivated-owner-lowers-ask/7911156587.html
"Its an Artist Loft. Its Furnished. Its in Soho. Its FLEXIBLE LEASE$14,500SoHo",14500,,,Soho,,,Other,False,22.0,https://newyork.craigslist.org/mnh/reb/d/new-york-its-an-artist-loft-its/7911153358.html
"Architectural Beauty! DUPLEXED 1BR with Drama, Priced to Sell$1,900,000Flatiron",1900000,,,Flatiron,1.0,,Multi-Family,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-architectural-beauty-duplexed/7911153241.html
"One of Kind 2 FAMILY w Industrial Vibes intact! Extra Wide and Skylit$4,000,000Cobble Hill",4000000,,,Cobble Hill,,,Multi-Family,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-one-of-kind-family-industrial/7911153120.html
"Vacation Home/Air BnB/1-2 family housing/in home business/rental units$525,000Paradise (Lancaster), PA",525000,,,"Paradise (Lancaster), Pa",,,Multi-Family,False,,https://newyork.craigslist.org/mnh/reo/d/bart-vacation-home-air-bnb-2-family/7908047634.html
"GREAT DEAL -Heart of Harlem$1,200,000Harlem / Morningside",1200000,,,Harlem / Morningside,,,Other,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-great-deal-heart-of-harlem/7910512049.html
"LEGAL 4 FAMILY TURN KEY!! SELLER FINANCE OPTIONAL$1,800,000Harlem / Morningside",1800000,,,Harlem / Morningside,,,Multi-Family,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-legal-family-turn-key-seller/7906944467.html
"FULL FLOOR, CLASSIC LOFT! 11' Ceilings,  Exposed Brick, The Works$2,250,000TriBeCa",2250000,,,Tribeca,,,Other,False,1054.62,https://newyork.craigslist.org/mnh/reb/d/new-york-full-floor-classic-loft-11/7911140673.html
"Amazing Deal!The house is immaculate!$1,700,000Astoria",1700000,,,Astoria,,,Single Family,False,,https://newyork.craigslist.org/que/reb/d/east-elmhurst-amazing-dealthe-house-is/7908124360.html
"2 bed rental great cap rate$155,000bronx",155000,,,Bronx,2.0,,Other,False,,https://newyork.craigslist.org/brx/reb/d/bronx-bed-rental-great-cap-rate/7909686857.html
